ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: SeaTemp-2MinAvg-Message
2023-08-10T17:21:41.3341052Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.7628
2023-08-10T17:21:42.3745929Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.8043
2023-08-10T17:21:43.4041263Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.7772
2023-08-10T17:21:44.4441158Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.7563
2023-08-10T17:21:45.4845976Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.7715
2023-08-10T17:21:46.5141272Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.8062
2023-08-10T17:21:47.5546142Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.8457
2023-08-10T17:21:48.5851438Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.8382
2023-08-10T17:21:49.6246389Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.8585
2023-08-10T17:21:50.6551672Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.9156
2023-08-10T17:21:51.6952947Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.9745
2023-08-10T17:21:52.7346790Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0131
2023-08-10T17:21:53.7652104Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0083
2023-08-10T17:21:54.8047612Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0102
2023-08-10T17:21:55.8352869Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0184
2023-08-10T17:21:56.8748774Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0249
2023-08-10T17:21:57.9153636Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0171
2023-08-10T17:21:58.9453204Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.994
2023-08-10T17:21:59.9856230Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0254
2023-08-10T17:22:01.0151581Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0639
2023-08-10T17:22:02.0557304Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0855
2023-08-10T17:22:03.0952096Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0681
2023-08-10T17:22:04.1259131Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.9198
2023-08-10T17:22:05.1612577Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.9122
2023-08-10T17:22:06.1842557Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,14.9704
2023-08-10T17:22:07.2210069Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0298
2023-08-10T17:22:08.2515331Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0711
2023-08-10T17:22:09.2910244Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0946
2023-08-10T17:22:10.3315213Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0706
2023-08-10T17:22:11.3620502Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.057
2023-08-10T17:22:12.4015356Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0756
2023-08-10T17:22:13.4316051Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.1025
2023-08-10T17:22:14.4720931Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.1195
2023-08-10T17:22:15.5116618Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.1052
2023-08-10T17:22:16.5420675Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.0989
2023-08-10T17:22:17.5823353Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.1148
2023-08-10T17:22:18.6118643Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,14.9,15.1334
2023-08-10T17:22:19.6523747Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1426
2023-08-10T17:22:20.6818889Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1226
2023-08-10T17:22:21.7223771Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1225
2023-08-10T17:22:22.7628669Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1316
2023-08-10T17:22:23.7929677Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1382
2023-08-10T17:22:24.8330061Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1365
2023-08-10T17:22:25.8628002Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.108
2023-08-10T17:22:26.9022903Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1116
2023-08-10T17:22:27.9328282Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1183
2023-08-10T17:22:28.9733093Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1244
2023-08-10T17:22:30.0128008Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1264
2023-08-10T17:22:31.0433280Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1223
2023-08-10T17:22:32.0828263Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.0946
2023-08-10T17:22:33.1133552Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.0967
2023-08-10T17:22:34.1528425Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1091
2023-08-10T17:22:35.1834878Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1262
2023-08-10T17:22:36.2242839Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1332
2023-08-10T17:22:37.2536340Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1121
2023-08-10T17:22:38.2839324Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.112
2023-08-10T17:22:39.3234250Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1222
2023-08-10T17:22:40.3539519Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1269
2023-08-10T17:22:41.3837515Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,15.1122
2023-08-10T17:22:42.4242432Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9561
2023-08-10T17:22:43.4541282Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.897
2023-08-10T17:22:44.4942422Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.8973
2023-08-10T17:22:45.5239137Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9391
2023-08-10T17:22:46.5544433Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9791
2023-08-10T17:22:47.5939365Z, 5dda8203-a249-e411-b0cc-f8bc1246af59, $DERIV,15,14.9735
