ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-2174150-3326-Message
2023-07-30T07:46:05.3041492Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176556        14.5808         4.035040        33.0234        14.4681      1502.67        58.0426
2023-07-30T07:46:08.3041076Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176557        14.6005         4.035639        33.0121        14.5047      1502.78        58.1085
2023-07-30T07:46:11.3038513Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176558        14.6160         4.036235        33.0044        14.5234      1502.83        58.1421
2023-07-30T07:46:14.3040797Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176559        14.6258         4.036931        33.0023        14.5455      1502.90        58.1818
2023-07-30T07:46:17.3044218Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176560        14.6301         4.037628        33.0051        14.5442      1502.89        58.1795
2023-07-30T07:46:20.3042178Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176561        14.6272         4.038425        33.0148        14.5148      1502.81        58.1266
2023-07-30T07:46:23.3047403Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176562        14.6174         4.039223        33.0304        14.4749      1502.70        58.0549
2023-07-30T07:46:26.3048630Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176563        14.6033         4.040117        33.0505        14.4328      1502.59        57.9790
2023-07-30T07:46:29.3058720Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176564        14.5914         4.041015        33.0689        14.4251      1502.59        57.9653
2023-07-30T07:46:32.3058322Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176565        14.5857         4.041809        33.0810        14.4614      1502.72        58.0305
2023-07-30T07:46:35.3058195Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176566        14.5857         4.042708        33.0892        14.2308      1501.98        57.6154
2023-07-30T07:46:38.3058078Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176567        14.5921         4.043602        33.0920        14.3760      1502.45        57.8768
2023-07-30T07:46:41.3058870Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176568        14.5977         4.044396        33.0944        14.4138      1502.58        57.9448
2023-07-30T07:46:44.3068918Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176569        14.5998         4.045194        33.0999        14.4315      1502.64        57.9767
2023-07-30T07:46:47.3068570Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176570        14.5942         4.046089        33.1128        14.4625      1502.76        58.0326
2023-07-30T07:46:50.3070916Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176571        14.5822         4.046887        33.1303        14.5156      1502.95        58.1281
2023-07-30T07:46:53.3070717Z, 7eda8203-a249-e411-b0cc-f8bc1246af59,      176572        14.5653         4.047585        33.1512        14.5163      1502.98        58.1293
