ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG-0289-Message
2023-09-10T00:01:46.7715475Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0132, c1= 0.05242, s=  0.2645, sv=1493.995, t2= 23.8921
2023-09-10T00:01:47.8009291Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0136, c1= 0.05242, s=  0.2645, sv=1493.998, t2= 23.8932
2023-09-10T00:01:48.8313788Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0138, c1= 0.05241, s=  0.2645, sv=1494.000, t2= 23.8940
2023-09-10T00:01:49.8514737Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0137, c1= 0.05242, s=  0.2645, sv=1494.000, t2= 23.8937
2023-09-10T00:01:50.8811824Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0136, c1= 0.05242, s=  0.2645, sv=1494.000, t2= 23.8940
2023-09-10T00:01:51.9117294Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0143, c1= 0.05242, s=  0.2645, sv=1494.001, t2= 23.8943
2023-09-10T00:01:52.9412990Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0137, c1= 0.05242, s=  0.2645, sv=1494.002, t2= 23.8947
2023-09-10T00:01:53.9618839Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0145, c1= 0.05242, s=  0.2645, sv=1494.004, t2= 23.8952
2023-09-10T00:01:54.9917860Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0146, c1= 0.05242, s=  0.2645, sv=1494.006, t2= 23.8959
2023-09-10T00:01:56.0223127Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0144, c1= 0.05242, s=  0.2645, sv=1494.005, t2= 23.8955
2023-09-10T00:01:57.0520037Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0148, c1= 0.05242, s=  0.2645, sv=1494.006, t2= 23.8960
2023-09-10T00:01:58.0721455Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0145, c1= 0.05242, s=  0.2645, sv=1494.007, t2= 23.8964
2023-09-10T00:01:59.1018535Z, 52da8203-a249-e411-b0cc-f8bc1246af59, t1= 23.0150, c1= 0.05242, s=  0.2645, sv=1494.007, t2= 23.8964
