ACQ Timestamp (Server Time in UTC), MessageID, Data Value For: TSG21-SBE38-Temp-F-Message
2023-08-27T19:38:09.7346204Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.283
2023-08-27T19:38:10.7641470Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2881
2023-08-27T19:38:11.8046514Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2959
2023-08-27T19:38:12.8345170Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.15,12.3056
2023-08-27T19:38:13.8645974Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.3012
2023-08-27T19:38:14.9050971Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2921
2023-08-27T19:38:15.9346082Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.12,12.2899
2023-08-27T19:38:16.9651713Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2942
2023-08-27T19:38:18.0046561Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.16,12.3138
2023-08-27T19:38:19.0355071Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.2,12.3313
2023-08-27T19:38:20.0652560Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.2,12.3313
2023-08-27T19:38:21.1057341Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.18,12.3227
2023-08-27T19:38:22.1352801Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.16,12.3097
2023-08-27T19:38:23.1672678Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.14,12.3018
2023-08-27T19:38:24.2052918Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.13,12.2925
2023-08-27T19:38:25.2351522Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.11,12.2841
2023-08-27T19:38:26.2656629Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.1,12.2773
2023-08-27T19:38:27.3053081Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2726
2023-08-27T19:38:28.3362853Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2738
2023-08-27T19:38:29.3658132Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.09,12.2717
2023-08-27T19:38:30.4060481Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.04,12.2466
2023-08-27T19:38:31.4361976Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.02,12.2322
2023-08-27T19:38:32.4662514Z, 42da8203-a249-e411-b0cc-f8bc1246af59, $DERIV,54.01,12.2268
